,은행명,지로코드,점포명,지점/출장소,점포형태(대), 점포형태(소),모점명,영업본부,특,구/시/군,구/읍/면/동,말단행정구역,건물번호 등,도로명,개점일,전화번호
12,산업은행,0023317,서소문,지점,기업,,,강북지역본부,서울특별시,중구,서소문동,,47-2,서소문로 115,2011-07-27 00:00:00,02-398-9500
13,산업은행,0023281,성동,지점,기업,,,강북지역본부,서울특별시,성동구,성수동2가,,317-23,성수이로20길 3,2011-02-18 00:00:00,02-3408-9600
14,산업은행,0027287,양천,지점,기업,,,강북지역본부,서울특별시,양천구,신정동,,900-10,목동로 203,2015-02-09 00:00:00,02-3219-8500
15,산업은행,0023126,여의도,지점,기업,,,강북지역본부,서울특별시,영등포구,여의도동 ,,26-4,의사당대로 97,1986-11-11 00:00:00,02-2000-0600
16,산업은행,0023100,영업부,지점,기업,,,강북지역본부,서울특별시,영등포구,여의도동 ,,16-3,은행로 14,1968-02-01 00:00:00,02-787-5717
17,산업은행,0023252,종로,지점,기업,,,강북지역본부,서울특별시,종로구,중학동,,14,율곡로 6,2001-07-09 00:00:00,02-398-6700
18,농협은행,0105316,흑석동지점,지점,,,,서울강서사업부,서울특별시,동작구,흑석동,,332,서달로 150,2010-02-22 00:00:00,02-817-1532
19,농협은행,0103981,회현역지점,지점,,,,서울중앙사업부,서울특별시,중구,남창동,,46-14,퇴계로 57,2007-10-04 00:00:00,02-775-1821
20,농협은행,0110550,화양지점,지점,,,,서울강북사업부,서울특별시,성동구,성수동2가,,280,아차산로17길 48,1974-01-09 00:00:00,02-463-0062
21,농협은행,0110987,화곡지점,지점,,,,서울강서사업부,서울특별시,양천구,신월동,,90-1,가로공원로 162,1983-08-10 00:00:00,02-2695-8375
22,농협은행,0101527,화곡중앙지점,지점,,,,서울강서사업부,서울특별시,강서구,화곡4동,,797-4,곰달래로 253,1990-08-08 00:00:00,02-2645-0183
23,농협은행,0113735,합정동지점,지점,,,,서울중앙사업부,서울특별시,마포구,서교동,,373-8,양화로 92,1993-10-18 00:00:00,02-322-2235
24,농협은행,0103790,한남동지점,지점,,,,서울중앙사업부,서울특별시,용산구,한남동,,635-1,한남대로21길 17,2007-06-22 00:00:00,02-792-5913
25,농협은행,0110673,한강로지점,지점,,,,서울중앙사업부,서울특별시,용산구,한강로3가,,40-604,한강대로 45,1974-01-09 00:00:00,02-792-1562
26,농협은행,0103185,학동역지점,지점,,,,서울강남사업부,서울특별시,강남구,논현동,,209-4,학동로 230,2006-12-20 00:00:00,02-3448-9091
27,농협은행,0110615,평화지점,지점,,,,서울중앙사업부,서울특별시,중구,을지로6가,,18-219,청계천로 260-20,1969-07-10 00:00:00,02-2266-2136
28,농협은행,0102801,테헤란로금융센터,지점,,,,서울강남사업부,서울특별시,강남구,대치동,,891,테헤란로 424,2006-06-08 00:00:00,02-2052-3400
29,농협은행,0110136,태평로금융센터,지점,,,,서울중앙사업부,서울특별시,중구,태평로2가,,43,세종대로 92,1962-05-15 00:00:00,02-755-8257
30,농협은행,0110770,태릉지점,지점,,,,서울강북사업부,서울특별시,노원구,공릉동,,670-9,화랑로 447,1975-08-01 00:00:00,02-972-2602
31,농협은행,0102720,코엑스지점,지점,,,,서울강남사업부,서울특별시,강남구,삼성동,,159,테헤란로87길 22,2006-03-17 00:00:00,02-6000-3901
32,농협은행,0117029,충정로역지점,지점,,,,서울중앙사업부,서울특별시,서대문구,충정로3가,,470,충정로 23,2017-04-27 00:00:00,02-362-9325
33,농협은행,0113609,충무로지점,지점,,,,서울중앙사업부,서울특별시,중구,필동1가,,39-1,퇴계로 187,1991-11-20 00:00:00,02-2263-0741
34,농협은행,0100007,청와대지점,지점,,,,,서울특별시,종로구,세종로,,1,청와대로 1,2009-02-09 00:00:00,02-736-6872
35,농협은행,0110314,청량리지점,지점,,,,서울강북사업부,서울특별시,동대문구,청량리동,,756,왕산로 191,1964-08-17 00:00:00,02-966-8902
36,농협은행,0110521,청담동지점,지점,,,,서울강남사업부,서울특별시,강남구,청담동,,133,영동대로 706,1986-10-23 00:00:00,02-549-1763
37,농협은행,0110466,청계지점,지점,,,,서울중앙사업부,서울특별시,중구,황학동,,2545-2,청계천로 370,1987-08-27 00:00:00,02-2236-5163
38,농협은행,0110356,천호동지점,지점,,,,서울강남사업부,서울특별시,강동구,천호동,,432-10,올림픽로 659,1964-03-12 00:00:00,02-482-1593
39,농협은행,0118028,창동하나로<출>,출장소,,,노원역지점,서울강북사업부,서울특별시,도봉구,창동,,1-10,마들로11길 20,1998-04-27 00:00:00,02-990-7645
40,농협은행,0111407,중화동지점,지점,,,,서울강북사업부,서울특별시,중랑구,중화2동,,301-11,동일로 769,1998-01-14 00:00:00,02-439-0915
41,농협은행,0106289,중앙본부<출>,출장소,,,본점영업부,,서울특별시,중구,충정로1가,,75-1,새문안로 16,2012-03-08 00:00:00,02-2080-4989
42,농협은행,0110408,중계동지점,지점,,,,서울강북사업부,서울특별시,노원구,상계6동,,746-7,동일로 1351,1989-06-02 00:00:00,02-938-1962
43,농협은행,0107673,종로대기업금융센터,지점,,,,,서울특별시,종로구,청진동,,128,종로5길 7,2007-02-12 00:00:00,02-2287-2013
44,농협은행,0110534,종로금융센터,지점,,,,서울중앙사업부,서울특별시,종로구,견지동,,111,우정국로 38,1970-07-31 00:00:00,02-733-7001
45,농협은행,0110327,종로1가지점,지점,,,,서울중앙사업부,서울특별시,종로구,청진동,,128,종로5길 7,1998-07-04 00:00:00,02-734-1992
46,농협은행,0103101,정부서울청사지점별관<출>,출장소,,,정부서울청사지점,,서울특별시,종로구,도렴동,,95-1,사직로8길 60,2006-09-25 00:00:00,02-2210-5355
47,농협은행,0110039,정부서울청사지점,지점,,,본점영업부,,서울특별시,종로구,세종로,,77-6,세종대로 209,1974-04-01 00:00:00,02-730-9972
48,농협은행,0105536,정릉지점,지점,,,,서울강북사업부,서울특별시,성북구,정릉동,,403-18,보국문로 40,2011-03-04 00:00:00,02-911-2414
49,농협은행,0110628,전농동지점,지점,,,,서울강북사업부,서울특별시,동대문구,전농동,,33-38,전농로 136,1985-05-09 00:00:00,02-2247-7822
50,농협은행,0101501,장한평역지점,지점,,,,서울강북사업부,서울특별시,동대문구,장안동,,464-1,장한로 6,1995-05-25 00:00:00,02-2214-7147
51,농협은행,0104469,장지동지점,지점,,,,서울강남사업부,서울특별시,송파구,장지동,,841-3,충민로2길 26,2008-04-03 00:00:00,02-449-6182
52,농협은행,0110178,잠실지점,지점,,,,서울강남사업부,서울특별시,송파구,잠실동,,314-6,백제고분로 160,1985-05-09 00:00:00,02-415-2005
53,농협은행,0104812,잠실중앙지점,지점,,,,서울강남사업부,서울특별시,송파구,잠실동,,19-8,올림픽로 111,2008-08-25 00:00:00,02-3431-3488
54,농협은행,0104799,잠실월드지점,지점,,,,서울강남사업부,서울특별시,송파구,신천동,,11-4,올림픽로35가길 9,2008-08-25 00:00:00,02-3431-4654
55,농협은행,0101491,자양로지점,지점,,,,서울강북사업부,서울특별시,광진구,구의동,,252-14,자양로 126,1999-05-04 00:00:00,02-455-4161
56,농협은행,0110204,일원동지점,지점,,,,서울강남사업부,서울특별시,강남구,일원동,,711-1,양재대로 55길  6,1989-12-13 00:00:00,02-2226-8724
57,농협은행,0101488,이수역지점,지점,,,,서울강서사업부,서울특별시,서초구,방배동,,1808,동작대로 132,1999-04-09 00:00:00,02-599-5732
58,농협은행,0105808,의원회관<출>,출장소,,,국회지점,,서울특별시,영등포구,여의도동,,1번지,의사당대로 1,2012-06-04 00:00:00,02-3775-0872
59,농협은행,0110848,을지로4가지점,지점,,,,서울중앙사업부,서울특별시,중구,을지로4가,,125,을지로 191,1985-05-09 00:00:00,02-2274-7603
60,농협은행,0114983,위례중앙지점,지점,,,,서울강남사업부,서울특별시,송파구,장지동,,894,위례광장로 136,2016-03-21 00:00:00,02-449-8212
61,농협은행,0110246,월곡동지점,지점,,,,서울강북사업부,서울특별시,성북구,하월곡2동,,27-117,화랑로 79,1989-12-20 00:00:00,02-919-7548
62,농협은행,0110657,원효로지점,지점,,,,서울중앙사업부,서울특별시,용산구,원효로1가,,108-19,원효로 271,1968-01-22 00:00:00,02-713-0012
63,농협은행,0110110,용산금융센터,지점,,,,서울중앙사업부,서울특별시,용산구,한강로2가,,15-19,청파로 122,1961-08-15 00:00:00,02-2077-2775
64,농협은행,0110631,용두동지점,지점,,,,서울강북사업부,서울특별시,동대문구,용두동,,119-1,왕산로 68,1969-05-01 00:00:00,02-925-4314
65,농협은행,0100861,오목교역지점,지점,,,,서울강서사업부,서울특별시,양천구,목동,,406-21,오목로 325,2002-09-03 00:00:00,02-2653-0062
66,농협은행,0115306,예금보험공사<출>,출장소,,,광화문금융센터,서울중앙사업부,서울특별시,중구,다동,,33,청계천로 30,2013-06-13 00:00:00,02-776-7432
67,농협은행,0110233,영등포지점,지점,,,,서울강서사업부,서울특별시,영등포구,영등포동5가,,25-1,영중로 48,1961-08-15 00:00:00,02-2671-0205
68,농협은행,0110495,연신내지점,지점,,,,서울중앙사업부,서울특별시,은평구,불광동,,486-25,통일로 860,1967-09-14 00:00:00,02-359-4602
69,농협은행,0101446,역삼동지점,지점,,,,서울강서사업부,서울특별시,서초구,서초동,,1329-2,강남대로 351,1986-02-21 00:00:00,02-566-9763
70,농협은행,0101912,역삼금융센터,지점,,,,서울강남사업부,서울특별시,강남구,역삼동,,648-23,테헤란로 123,2004-09-17 00:00:00,02-3452-4011
71,농협은행,0110835,여의도지점,지점,,,,서울강서사업부,서울특별시,영등포구,여의도동,,34-2,국제금융로6길 17,1977-11-07 00:00:00,02-3775-2006
72,농협은행,0100735,여의도역<출>,출장소,,,여의도지점,서울강서사업부,서울특별시,영등포구,여의도동,,35-3,여의나루로 50,2014-10-21 00:00:00,02-3775-1986
73,농협은행,0103444,여의도문화지점,지점,,,,서울강서사업부,서울특별시,영등포구,여의도동,,34-7,국제금융로8길 2,2007-02-21 00:00:00,02-3775-3261
74,농협은행,0107657,여의도대기업금융센터,지점,,,,,서울특별시,영등포구,여의도동,,34-2,국제금융로6길 17,2007-02-12 00:00:00,02-761-7980
75,농협은행,0116664,양재하나로지점,지점,,,,서울강서사업부,서울특별시,서초구,양재동,,230,청계산로 10,1998-01-20 00:00:00,02-571-9316
76,농협은행,0113696,양재지점,지점,,,,서울강남사업부,서울특별시,강남구,도곡동,,946-16,강남대로 278,1993-06-25 00:00:00,02-3461-9646
77,농협은행,0113683,양재남지점,지점,,,,서울강서사업부,서울특별시,서초구,양재동,,214,매헌로 24,1993-09-27 00:00:00,02-579-1962
78,농협은행,0101433,압구정역지점,지점,,,,서울강남사업부,서울특별시,강남구,신사동,,599,논현로 842,1987-05-08 00:00:00,02-540-0942
79,농협은행,0110686,압구정동지점,지점,,,,서울강남사업부,서울특별시,강남구,청담동,,97-4,도산대로 447,1985-07-10 00:00:00,02-543-8493
80,농협은행,0103046,쌍문역지점,지점,,,,서울강북사업부,서울특별시,도봉구,쌍문동,,96-4,도봉로 461,2006-09-18 00:00:00,02-903-8100
81,농협은행,0110372,신촌지점,지점,,,,서울중앙사업부,서울특별시,서대문구,대현동,,101-25,신촌로 155,1968-08-20 00:00:00,02-313-1286
82,농협은행,0110385,신촌중앙지점,지점,,,,서울중앙사업부,서울특별시,서대문구,창천동,,72-12,신촌로 73,1987-03-17 00:00:00,02-325-2516
83,농협은행,0110149,신월동지점,지점,,,,서울강서사업부,서울특별시,양천구,신월6동,,549-4,신월로 156,1989-07-28 00:00:00,02-2694-2732
84,농협은행,0110945,신용산지점,지점,,,,서울중앙사업부,서울특별시,용산구,한강로2가,,422,한강대로 95,1983-10-28 00:00:00,02-794-9885
85,농협은행,0101417,신설동지점,지점,,,,서울중앙사업부,서울특별시,종로구,숭인동,,200-6,종로 394,1989-02-22 00:00:00,02-2238-6127
86,농협은행,0110712,신사동금융센터,지점,,,,서울강남사업부,서울특별시,강남구,신사동,,514-7,도산대로 125,1974-08-30 00:00:00,02-542-5104
87,농협은행,0113706,신당동지점,지점,,,,서울중앙사업부,서울특별시,중구,신당5동,,101-7,다산로 240,1993-06-26 00:00:00,02-2237-8562
88,농협은행,0110547,신길동지점,지점,,,,서울강서사업부,서울특별시,영등포구,신길3동,,355-605,가마산로 407,1986-11-07 00:00:00,02-841-2253
89,농협은행,0110411,시흥동지점,지점,,,,서울강서사업부,서울특별시,금천구,시흥동,,993-3,시흥대로 215,1968-02-20 00:00:00,02-802-0772
90,농협은행,0110518,수유지점,지점,,,,서울강북사업부,서울특별시,강북구,수유동,,63,도봉로 261,1967-09-28 00:00:00,02-986-9013
91,농협은행,0110932,송파금융센터,지점,,,,서울강남사업부,서울특별시,송파구,가락동,,8-2,오금로 310,1981-12-17 00:00:00,02-404-6547
92,농협은행,0102775,세종로지점,지점,,,,서울중앙사업부,서울특별시,종로구,신문로1가,,163,새문안로 92,2006-06-01 00:00:00,02-2210-5415
93,농협은행,0101543,성수역지점,지점,,,,서울강북사업부,서울특별시,성동구,성수동2가,,300-4,아차산로 103,1988-03-03 00:00:00,02-2118-7505
94,농협은행,0110152,성동금융센터,지점,,,,서울강북사업부,서울특별시,성동구,도선동,,58-1,왕십리로 326,1963-04-15 00:00:00,02-2293-4172
95,농협은행,0103745,선정릉역지점,지점,,,,서울강남사업부,서울특별시,강남구,역삼동,,682-20,선릉로 577,2007-05-22 00:00:00,02-3443-3502
96,농협은행,0102898,선릉금융센터,지점,,,,서울강남사업부,서울특별시,강남구,역삼동,,702-2,테헤란로 309,2006-06-30 00:00:00,02-527-2112
97,농협은행,0110822,석촌역지점,지점,,,,서울강남사업부,서울특별시,송파구,송파동,,19-5,백제고분로 379,1983-12-21 00:00:00,02-415-4712
98,농협은행,0110877,서초동지점,지점,,,,서울강서사업부,서울특별시,서초구,서초동,,1539-10,반포대로 93,1978-09-26 00:00:00,02-584-0135
99,농협은행,0110893,서울영업부,지점,,,,서울강남사업부,서울특별시,강동구,성내동,,451,올림픽로 528,1983-12-01 00:00:00,02-483-2711
100,농협은행,0103172,서울역지점,지점,,,,서울중앙사업부,서울특별시,중구,남대문로5가,,581,후암로 110,2006-12-21 00:00:00,02-753-6655
101,농협은행,0110851,서울시교육청지점,지점,,,,서울강남사업부,서울특별시,종로구,신문로2가,,2-64,송월길 48,1978-04-06 00:00:00,02-736-5786
102,농협은행,0110796,서울대학교지점,지점,,,,,서울특별시,관악구,신림9동,,산56-1,관악로 1,1969-07-01 00:00:00,02-889-8174
103,농협은행,0104508,서울대연건<출>,출장소,,,서울대학교지점,,서울특별시,종로구,연건동,,28-2,대학로 103,2008-06-20 00:00:00,02-742-8126
104,농협은행,0102034,서울과학기술대지점,지점,,,,서울강북사업부,서울특별시,노원구,공릉2동,,172,공릉로 232,2005-01-24 00:00:00,02-3296-5104
105,농협은행,0113670,서여의도지점,지점,,,,서울강서사업부,서울특별시,영등포구,여의도동,,13-31,국회대로76길 22,1993-02-05 00:00:00,02-709-2900
106,농협은행,0102791,서교동지점,지점,,,,서울중앙사업부,서울특별시,마포구,서교동,,338-8,와우산로 121,2006-06-15 00:00:00,02-3144-9982
107,농협은행,0110644,상도동지점,지점,,,,서울강서사업부,서울특별시,동작구,상도4동,,345-8,상도로 106,1985-11-13 00:00:00,02-823-0153
108,농협은행,0110754,상계동지점,지점,,,,서울강북사업부,서울특별시,노원구,상계5동,,389-638,상계로27길 26,1974-06-01 00:00:00,02-939-6384
109,농협은행,0110929,삼양동지점,지점,,,,서울강북사업부,서울특별시,강북구,미아동,,703-13,삼양로 184,1983-10-20 00:00:00,02-986-6212
110,농협은행,0102005,삼성역루첸타워지점,지점,,,,서울강남사업부,서울특별시,강남구,대치동,,943,테헤란로 510,2019-02-11 00:00:00,02-3454-0355
111,농협은행,0110181,삼성역금융센터,지점,,,,서울강남사업부,서울특별시,강남구,대치동,,945-1,테헤란로 522,1986-02-27 00:00:00,02-552-4021
112,농협은행,0110291,삼선교지점,지점,,,,서울강북사업부,서울특별시,성북구,동소문동1가,,16,동소문로 1,1964-03-13 00:00:00,02-743-3932
113,농협은행,0110783,사당동지점,지점,,,,서울강서사업부,서울특별시,동작구,사당동,,1019-34,동작대로 57,1987-07-02 00:00:00,02-587-0292
114,농협은행,0110217,불광지점,지점,,,,서울중앙사업부,서울특별시,은평구,불광동,,281-105,통일로 728-1,1963-04-15 00:00:00,02-355-9142
115,농협은행,0106315,북아현<출>,출장소,,,충정로역지점,서울중앙사업부,서울특별시,서대문구,북아현동,,176-87,북아현로 55,2012-08-08 00:00:00,02-364-7168
116,농협은행,0110301,북부법원지점,지점,,,,서울강북사업부,서울특별시,도봉구,도봉동,,626,마들로 749,1988-12-14 00:00:00,02-978-6949
117,농협은행,0110741,봉천동지점,지점,,,,서울강서사업부,서울특별시,관악구,봉천동,,874-4,남부순환로 1801,1986-12-23 00:00:00,02-887-0091
118,농협은행,0103169,봉은사로지점,지점,,,,서울강남사업부,서울특별시,강남구,삼성동,,108-7,봉은사로 617,2006-12-18 00:00:00,02-3442-4411
119,농협은행,0110013,본점영업부,지점,,,,,서울특별시,중구,충정로1가,,85,통일로 120,1961-08-15 00:00:00,02-2080-7850
120,농협은행,0110262,보문동지점,지점,,,,서울강북사업부,서울특별시,성북구,보문동4가,,4,보문로 98,1989-10-23 00:00:00,02-927-0325
121,농협은행,0113968,보라매타운지점,지점,,,,서울강서사업부,서울특별시,동작구,신대방동,,395-70,보라매로5길 15,1999-09-11 00:00:00,02-3284-0672
122,농협은행,0110107,보광동지점,지점,,,,서울중앙사업부,서울특별시,용산구,보광동,,260-7,보광로 34,1989-12-08 00:00:00,02-793-1452
123,농협은행,0104456,법조타운지점,지점,,,,서울강서사업부,서울특별시,서초구,서초동,,1553-5,서초대로 254,2008-03-07 00:00:00,02-598-0162
124,농협은행,0110819,방배지점,지점,,,,서울강서사업부,서울특별시,서초구,방배동,,813-5,방배로33길 6,1976-09-13 00:00:00,02-534-4162
125,농협은행,0113586,목동지점,지점,,,,서울강서사업부,서울특별시,양천구,목동,,762-6,목동중앙로 71,1992-09-30 00:00:00,02-2644-0673
126,농협은행,0110767,목동역지점,지점,,,,서울강서사업부,서울특별시,양천구,신정동,신정4동,900-19,목동로 207,1985-08-12 00:00:00,02-2698-7421
127,농협은행,0113599,명일동지점,지점,,,,서울강남사업부,서울특별시,강동구,명일동,,46-2,고덕로 262,1991-06-04 00:00:00,02-442-5544
128,농협은행,0113861,명동지점,지점,,,,서울중앙사업부,서울특별시,중구,명동1가,,1-3,명동길 73,1996-05-13 00:00:00,02-771-2841
129,농협은행,0110725,면목역지점,지점,,,,서울강북사업부,서울특별시,중랑구,면목1동,,129-12,면목로 431,1989-11-29 00:00:00,02-494-1507
130,농협은행,0110699,마포지점,지점,,,,서울중앙사업부,서울특별시,마포구,도화동,,544,큰우물로 76,1964-03-16 00:00:00,02-715-4493
131,농협은행,0104168,마포중앙지점,지점,,,,서울중앙사업부,서울특별시,마포구,도화1동,,22,마포대로 86,2008-03-13 00:00:00,02-706-6571
132,농협은행,0113544,마들역지점,지점,,,,서울강북사업부,서울특별시,노원구,상계8동,,651-1,동일로 1553,1991-09-12 00:00:00,02-932-3012
133,농협은행,0100803,마곡역지점,지점,,,,서울강서사업부,서울특별시,강서구,마곡동,,773,마곡중앙로 76,2018-05-03 00:00:00,02-3661-7431
134,농협은행,0102500,마곡기업센터지점,지점,,,,서울강서사업부,서울특별시,강서구,마곡동,,737,양천로30길 123-28,2021-04-12 00:00:00,02-2667-0253
135,농협은행,0110437,뚝섬지점,지점,,,,서울강북사업부,서울특별시,성동구,성수동2가,,339-84,성덕정길 87,1967-09-27 00:00:00,02-463-2822
136,농협은행,0101909,등촌역지점,지점,,,,서울강서사업부,서울특별시,강서구,등촌1동,,648-6,공항대로 525,2005-03-07 00:00:00,02-3665-8773
137,농협은행,0101530,등촌동지점,지점,,,,서울강서사업부,서울특별시,강서구,등촌동,,678-12,강서로 396,1997-04-23 00:00:00,02-3665-4363
138,농협은행,0110275,동대문지점,지점,,,,서울중앙사업부,서울특별시,종로구,종로4가,,160-3,종로 196,1964-06-01 00:00:00,02-2267-3113
139,농협은행,0113528,독산센터지점,지점,,,,서울강서사업부,서울특별시,금천구,독산동,,289-1,두산로  75,1989-08-08 00:00:00,02-869-8893
140,농협은행,0110916,독산동지점,지점,,,,서울강서사업부,서울특별시,금천구,독산동,,1054-28,시흥대로 336,1979-12-26 00:00:00,02-804-8782
141,농협은행,0110194,도봉지점,지점,,,,서울강북사업부,서울특별시,도봉구,방학동,,704-50,도봉로 699,1974-07-11 00:00:00,02-3492-1172
142,농협은행,0110880,도곡동지점,지점,,,,서울강남사업부,서울특별시,강남구,도곡동,,544-5,도곡로 194,1986-10-07 00:00:00,02-3462-0653
143,농협은행,0104045,도곡금융센터,지점,,,,서울강남사업부,서울특별시,강남구,도곡동,,467-10,언주로30길 27,2007-09-14 00:00:00,02-2057-6931
144,농협은행,0114828,대치동지점,지점,,,,서울강남사업부,서울특별시,강남구,대치동,,1019-1,삼성로 233,1997-05-16 00:00:00,02-567-3741
145,농협은행,0110864,당산지점,지점,,,,서울강서사업부,서울특별시,영등포구,영등포동7가,,94-46,버드나루로 84,1983-12-23 00:00:00,02-2676-8236
146,농협은행,0110660,논현동지점,지점,,,,서울강남사업부,서울특별시,강남구,논현동,,127,학동로 158,1985-06-17 00:00:00,02-548-6159
147,농협은행,0110589,논현남지점,지점,,,,서울강남사업부,서울특별시,강남구,논현동,,201-12,봉은사로 111,1984-10-11 00:00:00,02-561-1526
148,농협은행,0110453,녹번지점,지점,,,,서울중앙사업부,서울특별시,은평구,응암동,,93-4,은평로 180,1961-08-15 00:00:00,02-359-4812
149,농협은행,0101297,노원역지점,지점,,,,서울강북사업부,서울특별시,노원구,상계동,,709,노해로 455,1989-12-19 00:00:00,02-935-5073
150,농협은행,0110330,남영동지점,지점,,,,서울중앙사업부,서울특별시,용산구,남영동,,20,한강대로 294,1964-04-23 00:00:00,02-793-0182
151,농협은행,0110440,남서초지점,지점,,,,서울강서사업부,서울특별시,서초구,서초동,,1623-2,서초중앙로 62,1988-04-19 00:00:00,02-588-9158
152,농협은행,0110974,남대문금융센터,지점,,,,서울중앙사업부,서울특별시,중구,남대문로5가,,118,소월로 8,1983-08-05 00:00:00,02-753-6416
153,농협은행,0103350,길음역지점,지점,,,,서울강북사업부,서울특별시,성북구,길음동,,1286-10,길음로7길 6,2007-03-02 00:00:00,02-3291-0667
154,농협은행,0112930,길동지점,지점,,,,서울강남사업부,서울특별시,강동구,길동,,411-4,양재대로 1458,1995-10-27 00:00:00,02-478-8102
155,농협은행,0110576,금호동지점,지점,,,,서울강북사업부,서울특별시,성동구,금호동2가,,222-1,금호로 157,1970-04-14 00:00:00,02-2234-1637
156,농협은행,0110369,국회지점,지점,,,본점영업부,,서울특별시,영등포구,여의도동,,1,의사당대로 1,1985-12-20 00:00:00,02-780-8541
157,농협은행,0105581,국군재정관리단<출>,출장소,,,본점영업부,,서울특별시,용산구,이태원동,,293-2,회나무로 4,2011-03-02 00:00:00,02-790-3900
158,농협은행,0110738,구파발지점,지점,,,,서울중앙사업부,서울특별시,은평구,진관동,,72,진관2로 29-21,1969-05-01 00:00:00,02-353-5162
159,농협은행,0110398,구로지점,지점,,,,서울강서사업부,서울특별시,구로구,구로4동,,732-3,구로동로 124,1966-01-05 00:00:00,02-838-4054
160,농협은행,0101970,구로디지털금융센터,지점,,,,서울강서사업부,서울특별시,구로구,구로동,,222-12,디지털30길 28,2004-09-02 00:00:00,02-3281-1230
161,농협은행,0103295,광화문대기업금융센터,지점,,,,,서울특별시,종로구,청진동,,128,종로5길 7,2007-02-12 00:00:00,02-755-5011
162,농협은행,0110563,광화문금융센터,지점,,,,서울중앙사업부,서울특별시,중구,태평로1가,,25,세종대로 124,1985-05-09 00:00:00,02-730-5392
163,농협은행,0110259,공항동지점,지점,,,,서울강서사업부,서울특별시,강서구,공항동,,48-45,공항대로 11,1961-08-15 00:00:00,02-2664-2713
164,농협은행,0101271,공덕역지점,지점,,,,서울중앙사업부,서울특별시,마포구,공덕동,,404,마포대로 127,1991-04-12 00:00:00,02-704-7396
165,농협은행,0112927,경동시장지점,지점,,,,서울강북사업부,서울특별시,동대문구,제기동,,1015,왕산로 147,1995-09-22 00:00:00,02-959-4057
166,농협은행,0102908,거여역지점,지점,,,,서울강남사업부,서울특별시,송파구,거여동,,27-5,오금로 512,2006-06-30 00:00:00,02-3012-6300
167,농협은행,0103088,개포동지점,지점,,,,서울강남사업부,서울특별시,강남구,개포동,,1239-17,논현로 98,2006-09-11 00:00:00,02-3461-3191
168,농협은행,0103389,개롱역지점,지점,,,,서울강남사업부,서울특별시,송파구,가락동,,167,오금로 404,2007-03-29 00:00:00,02-403-8502
169,농협은행,0110220,강북중앙지점,지점,,,,서울강북사업부,서울특별시,강북구,수유동,,174-5,도봉로 373,1986-03-27 00:00:00,02-906-0072
170,농협은행,0110961,강남역금융센터,지점,,,,서울강남사업부,서울특별시,강남구,역삼동,,825-13,강남대로 388,1982-12-29 00:00:00,02-557-3260
171,농협은행,0100188,강남세곡지점,지점,,,,서울강남사업부,서울특별시,강남구,자곡동,,651,자곡로 180,2014-06-25 00:00:00,02-3411-9731
172,농협은행,0103130,강남대기업금융센터,지점,,,,,서울특별시,강남구,역삼동,,825-13,강남대로 388,2007-02-12 00:00:00,02-3420-2601
173,농협은행,0105390,감사원지점,지점,,,본점영업부,,서울특별시,종로구,삼청동,,28-102,북촌로 109,2010-06-01 00:00:00,02-737-5041
174,농협은행,0110592,가좌지점,지점,,,,서울중앙사업부,서울특별시,서대문구,남가좌동,,105-1,모래내로 143,1967-10-04 00:00:00,02-373-2652
